run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
1095,chebyshev_d3_I1,259,6,13,1095,0.009313800008385442,0.16517339998972602,0.007708599994657561,0.18219579999276903
1096,least_squares_d5_I1,633,2,21,1096,0.012323000002652407,0.22103830000560265,0.007685300006414764,0.24104660001466982
1097,least_squares_d5_I2,633,2,21,1097,0.012659800006076694,0.2203793999942718,0.00789459999941755,0.24093379999976605
1098,least_squares_d5_I2,603,8,19,1098,0.012425499997334555,0.21912009999505244,0.007775699996273033,0.23932129998866003
1099,least_squares_d3_I1,589,4,14,1099,0.00950740001280792,0.1664256999938516,0.007840000005671754,0.18377310001233127
1100,least_squares_d5_I1,633,2,1,1100,0.012889899997389875,0.22171179999713786,0.007727799995336682,0.24232949998986442
1101,least_squares_d5_I2,120,5,4,1101,0.01234699999622535,0.21755750000011176,0.0077563999948324636,0.23766089999116957
1102,chebyshev_d3_I1,603,8,2,1102,0.009632899993448518,0.16831059999822173,0.0077243000123417005,0.18566780000401195
1103,least_squares_d3_I1,120,5,29,1103,0.009383600001456216,0.16816230000404175,0.007692200000747107,0.18523810000624508
1104,chebyshev_d5_I2,586,0,0,1104,0.012417500009178184,0.2202711999998428,0.00793040001008194,0.24061910001910292
1105,least_squares_d3_I1,633,2,12,1105,0.009338699994259514,0.1662611000065226,0.007780400002957322,0.18338020000373945
1106,least_squares_d5_I1,120,5,2,1106,0.012395900004776195,0.21826480000163428,0.007748000003630295,0.23840870001004077
1107,chebyshev_d3_I1,949,1,3,1107,0.009382800009916537,0.16623750000144355,0.007830899994587526,0.1834512000059476
1108,chebyshev_d5_I1,589,4,14,1108,0.012435099997674115,0.21906350000062957,0.007715100000496022,0.2392136999987997
1109,least_squares_d5_I2,481,9,10,1109,0.01261279999744147,0.22017739999864716,0.007832400006009266,0.2406226000020979
1110,least_squares_d5_I2,589,4,26,1110,0.012588099998538382,0.2210713999957079,0.007805700006429106,0.2414652000006754
1111,least_squares_d3_I1,603,8,6,1111,0.00957550000748597,0.16866109998954926,0.007852700000512414,0.18608929999754764
